?label	?part1	?lang
"Lithuanian"	"lt"	<http://purl.obolibrary.org/obo/LANG_1003600>
"Luba-Katanga"	"lu"	<http://purl.obolibrary.org/obo/LANG_1003757>
"Luxembourgish"	"lb"	<http://purl.obolibrary.org/obo/LANG_1003755>
"Macedonian"	"mk"	<http://purl.obolibrary.org/obo/LANG_1004052>
"Malagasy"	"mg"	<http://purl.obolibrary.org/obo/LANG_1004079>
"Malay (macrolanguage)"	"ms"	<http://purl.obolibrary.org/obo/LANG_1004246>
"Malayalam"	"ml"	<http://purl.obolibrary.org/obo/LANG_1003813>
"Maltese"	"mt"	<http://purl.obolibrary.org/obo/LANG_1004092>
"Manx"	"gv"	<http://purl.obolibrary.org/obo/LANG_1002141>
"Maori"	"mi"	<http://purl.obolibrary.org/obo/LANG_1004228>
"Marathi"	"mr"	<http://purl.obolibrary.org/obo/LANG_1003817>
"Marshallese"	"mh"	<http://purl.obolibrary.org/obo/LANG_1003809>
"Modern Greek (1453-)"	"el"	<http://purl.obolibrary.org/obo/LANG_1001799>
"Mongolian"	"mn"	<http://purl.obolibrary.org/obo/LANG_1004157>
"Nauru"	"na"	<http://purl.obolibrary.org/obo/LANG_1004454>
"Navajo"	"nv"	<http://purl.obolibrary.org/obo/LANG_1004455>
"Ndonga"	"ng"	<http://purl.obolibrary.org/obo/LANG_1004519>
"Nepali (macrolanguage)"	"ne"	<http://purl.obolibrary.org/obo/LANG_1004545>
"North Ndebele"	"nd"	<http://purl.obolibrary.org/obo/LANG_1004509>
"Northern Sami"	"se"	<http://purl.obolibrary.org/obo/LANG_1005910>
"Norwegian"	"no"	<http://purl.obolibrary.org/obo/LANG_1004758>
"Norwegian Bokmål"	"nb"	<http://purl.obolibrary.org/obo/LANG_1004743>
"Norwegian Nynorsk"	"nn"	<http://purl.obolibrary.org/obo/LANG_1004732>
"Nyanja"	"ny"	<http://purl.obolibrary.org/obo/LANG_1004895>
"Occitan (post 1500)"	"oc"	<http://purl.obolibrary.org/obo/LANG_1004944>
"Ojibwa"	"oj"	<http://purl.obolibrary.org/obo/LANG_1004967>
"Oriya (macrolanguage)"	"or"	<http://purl.obolibrary.org/obo/LANG_1005046>
"Oromo"	"om"	<http://purl.obolibrary.org/obo/LANG_1005047>
"Ossetian"	"os"	<http://purl.obolibrary.org/obo/LANG_1005064>
"Pali"	"pi"	<http://purl.obolibrary.org/obo/LANG_1005256>
"Panjabi"	"pa"	<http://purl.obolibrary.org/obo/LANG_1005110>
"Persian"	"fa"	<http://purl.obolibrary.org/obo/LANG_1001899>
"Polish"	"pl"	<http://purl.obolibrary.org/obo/LANG_1005325>
"Portuguese"	"pt"	<http://purl.obolibrary.org/obo/LANG_1005331>
"Pushto"	"ps"	<http://purl.obolibrary.org/obo/LANG_1005419>
"Quechua"	"qu"	<http://purl.obolibrary.org/obo/LANG_1005447>
"Romanian"	"ro"	<http://purl.obolibrary.org/obo/LANG_1005612>
"Romansh"	"rm"	<http://purl.obolibrary.org/obo/LANG_1005609>
"Rundi"	"rn"	<http://purl.obolibrary.org/obo/LANG_1005639>
"Russian"	"ru"	<http://purl.obolibrary.org/obo/LANG_1005643>
"Samoan"	"sm"	<http://purl.obolibrary.org/obo/LANG_1005919>
"Sango"	"sg"	<http://purl.obolibrary.org/obo/LANG_1005665>
"Sanskrit"	"sa"	<http://purl.obolibrary.org/obo/LANG_1005670>
"Sardinian"	"sc"	<http://purl.obolibrary.org/obo/LANG_1006015>
"Scottish Gaelic"	"gd"	<http://purl.obolibrary.org/obo/LANG_1002128>
"Serbian"	"sr"	<http://purl.obolibrary.org/obo/LANG_1006026>
"Serbo-Croatian"	"sh"	<http://purl.obolibrary.org/obo/LANG_1002342>
"Shona"	"sn"	<http://purl.obolibrary.org/obo/LANG_1005931>
"Sichuan Yi"	"ii"	<http://purl.obolibrary.org/obo/LANG_1002557>
"Sindhi"	"sd"	<http://purl.obolibrary.org/obo/LANG_1005934>
"Sinhala"	"si"	<http://purl.obolibrary.org/obo/LANG_1005832>
"Slovak"	"sk"	<http://purl.obolibrary.org/obo/LANG_1005891>
"Slovenian"	"sl"	<http://purl.obolibrary.org/obo/LANG_1005901>
"Somali"	"so"	<http://purl.obolibrary.org/obo/LANG_1005966>
"South Ndebele"	"nr"	<http://purl.obolibrary.org/obo/LANG_1004470>
"Southern Sotho"	"st"	<http://purl.obolibrary.org/obo/LANG_1005972>
"Spanish"	"es"	<http://purl.obolibrary.org/obo/LANG_1005979>
"Sundanese"	"su"	<http://purl.obolibrary.org/obo/LANG_1006093>
"Swahili (macrolanguage)"	"sw"	<http://purl.obolibrary.org/obo/LANG_1006111>
"Swati"	"ss"	<http://purl.obolibrary.org/obo/LANG_1006058>
"Swedish"	"sv"	<http://purl.obolibrary.org/obo/LANG_1006114>
"Tagalog"	"tl"	<http://purl.obolibrary.org/obo/LANG_1006310>
"Tahitian"	"ty"	<http://purl.obolibrary.org/obo/LANG_1006182>
"Tajik"	"tg"	<http://purl.obolibrary.org/obo/LANG_1006309>
"Tamil"	"ta"	<http://purl.obolibrary.org/obo/LANG_1006186>
"Tatar"	"tt"	<http://purl.obolibrary.org/obo/LANG_1006193>
"Telugu"	"te"	<http://purl.obolibrary.org/obo/LANG_1006280>
"Thai"	"th"	<http://purl.obolibrary.org/obo/LANG_1006324>
"Tibetan"	"bo"	<http://purl.obolibrary.org/obo/LANG_1000856>
"Tigrinya"	"ti"	<http://purl.obolibrary.org/obo/LANG_1006358>
"Tonga (Tonga Islands)"	"to"	<http://purl.obolibrary.org/obo/LANG_1006478>
"Tsonga"	"ts"	<http://purl.obolibrary.org/obo/LANG_1006561>
"Tswana"	"tn"	<http://purl.obolibrary.org/obo/LANG_1006560>
"Turkish"	"tr"	<http://purl.obolibrary.org/obo/LANG_1006614>
"Turkmen"	"tk"	<http://purl.obolibrary.org/obo/LANG_1006608>
"Twi"	"tw"	<http://purl.obolibrary.org/obo/LANG_1006643>
"Uighur"	"ug"	<http://purl.obolibrary.org/obo/LANG_1006724>
"Ukrainian"	"uk"	<http://purl.obolibrary.org/obo/LANG_1006735>
"Urdu"	"ur"	<http://purl.obolibrary.org/obo/LANG_1006781>
"Uzbek"	"uz"	<http://purl.obolibrary.org/obo/LANG_1006823>
"Venda"	"ve"	<http://purl.obolibrary.org/obo/LANG_1006849>
"Vietnamese"	"vi"	<http://purl.obolibrary.org/obo/LANG_1006857>
"Volapük"	"vo"	<http://purl.obolibrary.org/obo/LANG_1006903>
"Walloon"	"wa"	<http://purl.obolibrary.org/obo/LANG_1007028>
"Welsh"	"cy"	<http://purl.obolibrary.org/obo/LANG_1001463>
"Western Frisian"	"fy"	<http://purl.obolibrary.org/obo/LANG_1001953>
"Wolof"	"wo"	<http://purl.obolibrary.org/obo/LANG_1007074>
"Xhosa"	"xh"	<http://purl.obolibrary.org/obo/LANG_1007226>
"Yiddish"	"yi"	<http://purl.obolibrary.org/obo/LANG_1007521>
"Yoruba"	"yo"	<http://purl.obolibrary.org/obo/LANG_1007600>
"Zhuang"	"za"	<http://purl.obolibrary.org/obo/LANG_1007725>
"Zulu"	"zu"	<http://purl.obolibrary.org/obo/LANG_1007850>
