Row	Type	Prefix	Name	Label	Domain	Dispostion	Yes/No	DispComment	Definitions	Editor Note	Example	Status	Human Friendly Name	Name of editor	Alternative Name	Citation
68	C	bibo:	Manuscript	manuscript	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Works prepared by hand including handwritten or typescript drafts of pre-publication papers or works not otherwise reproduced in multiple copies		Short Definition is the Medical Subject Heading (MeSH) definition					
69	C	bibo:	Map	Map	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A graphical depiction of geographic features, scientific discipline, scientific data analytical results"		"The Short Definition is how the bibo ontology defines Map. It has been extended to include more broader concept of map which includes science maps, social network maps."					
70	C	bibo:	Newspaper	Newspaper	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Contains news articles, opinions, features, advertising, and is usually issued daily or weekly"		USA Today					
71	C	bibo:	Note	Note	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Notes or annotations about a resource		Short Definition from bibo ontology					
72	C	bibo:	Patent	Patent	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"(from BIBO) A document describing the exclusive right granted by a government to an inventor to manufacture, use, or sell an invention for a certain number of years"		"A patent is an exclusive right granted for an invention, which is a product or a process that provides, in general, a new way of doing something, or offers a new technical solution to a problem.  In order to be patentable, the invention must fulfill certain conditions. (http://www.wipo.int/patentscope/en/)"					
73	C	bibo:	Performance	Performance	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Something carried out, acted or rendered."							
74	C	bibo:	Periodical	Periodical	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.								
75	C	bibo:	PersonalCommunicationDocument	Personal Communication Document	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A personal communication manifested in some document.		A personal communication manifested in some document.					
76	C	bibo:	Proceedings	Proceedings	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A compilation of documents published from an event, such as a conference"		Short Definition copied from bibo ontology					
77	C	bibo:	Quote	Quote	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	An excerpted collection of words		Short Definition from the bibo ontology					
78	C	bibo:	ReferenceSource	Reference Source	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A document that presents authoritative reference information, such as a dictionary or encylopedia"		Short Definition from the bibo ontology					
79	C	bibo:	Report	Report	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A document describing an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc."		"Medical Subject Heading (MeSH) definition of Technical Report: Work consisting of a formal report giving details of the investigation and results of a medical or other scientific problem. When issued by a government agency or comparable official body, its contents may be classified, unclassified, or declassified with regard to security clearance. This publication type may also cover a scientific paper or article that records the current state or current position of scientific research and development. If so labeled by the editor or publisher, this publication type may be properly used for journal articles."					
80	C	bibo:	Series	Series	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A thematic collection of documents, usually books, issued at regular or irregular intervals"		Methods in Molecular Biology					
81	C	bibo:	Slide	Slide	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A slide in a slideshow		Short Definition from the bibo ontology					
82	C	bibo:	Slideshow	Slideshow	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A presentation of a series of slides, usually presented in front of an audience with written text and images"		Short Definition from the bibo ontology					
83	C	bibo:	Standard	Standard	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"A specification giving a precise statement of a process or a service requirement, often sanctioned by a nation or industry"		"Short Definition from OCLC Input Standards, EntW"					
84	C	bibo:	Statute	Statute	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A bill enacted into law		Short Definition from bibo ontology					
85	C	bibo:	Thesis	Thesis	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	Works created to satisfy the requirements for an academic certification or degree; also called dissertation		"Short Definition from OCLC Input Standards, EntW"					
86	C	bibo:	ThesisDegree	Thesis Degree	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	The academic degree of a Thesis.		"Doctor of Philosophy (Ph.D.)|Different from general academic degree, thesis degree is achieved through one's completed thesis. Thesis is a document submitted in support of candidature for a degree or professional qualification presenting the author's research and findings(http://en.wikipedia.org/wiki/Thesis_or_dissertation)."					
87	C	bibo:	Webpage	Webpage	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	One section of a website that appears at a unique address within the parent site's address or URL on the World Wide Web 							
88	C	bibo:	Website	Website	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	A group of webpages available within a specific parent address or URL on the World Wide Web		Facebook; VIVOweb.org; Flickr					
89	C	bibo:	Workshop	Workshop	VIVO	R	yes	Some are types.  Needs analysis.  Add from other ontologies.  Review tickets.	"Bibo Definition: A seminar, discussion group, or the like, that emphasizes exchange of ideas and the demonstration and application of techniques, skills, etc."							
90	C	c4o:	BibliographicInformationSource	Bibliographic Information Source	VIVO	R	yes	Should be in VIVO with reference to c4o	"A source of information about bibliographic citations, such as Google Scholar, Web of Science or Scopus."							
91	C	c4o:	GlobalCitationCount	Global Citation Count	VIVO	R	yes	Should be in VIVO with reference to c40	"The number of times a work has been cited globally, as determined from a particular bibliographic information source on a particular date."							
92	C	event:	Event	Event	VIVO	R	yes	"Higher level than VIVO, but no alternative for now?"	Something that happens at a given place and time.		"Only use if no specific subclasses of event:Event are appropriate.|This class will also display instances of subclasses under Event, e.g. Philosophy Department Discussion Club; 2009 Racker Lecture; screening of a documentary. In addition to a location in space and time, an event may have any or all the following qualities: actively participating agents, passive factors, work products. Also, it may be in a virtual space or part of a series such as a lecture series.\n\nThe previous short definition was: \An arbitrary classification of a space/time region, by a cognitive agent.\"""""					
93	C	fabio:	ClinicalGuideline	Clinical Guideline	VIVO	R	yes	See BIBO comments	"A recommendation on the appropriate treatment and care of people with a specific disease or condition, based on the best available evidence, designed to help healthcare professionals in their work."							
94	C	fabio:	Comment	Comment	VIVO	R	yes	See BIBO comments	"A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by a special syntactic symbol that ensures they are ignored during execution of the program.\n\nhas super-classes|A verbal or written remark concerning some entity. In written form, a comment is often appended to that entity and termed an annotation. Within computer programs or ontologies, comments are added to enhance human understanding, and are usually prefaced by"							
95	C	fabio:	Erratum	Erratum	VIVO	R	yes	See BIBO comments	A formal correction to an error introduced by the publisher into a previously published document.							
96	C	foaf:	Agent	Agent	VIVO	N	no	Not sure this is needed in a BFO world	Agents are things that do stuff|Things that do stuff.		see: http://xmlns.com/foaf/spec/#term_Agent		agent	PERSON: Scott Hoffmann		
97	C	foaf:	Group	Group	VIVO	N	no	Not sure this is needed in a BFO world	"A collection of individual agents.| A collection of individual agents (and may itself play the role of a Agent, ie. something that can perform actions). "		"A group can also be an organization but need not be; typically used for looser associations of people or organizations acting together in some fashion, not necessarily through formal agreement or on a long-term basis. Added to the VIVO ontology to be able to support informal and perhaps even private groups of people around an idea, funding opportunity, or event.\n\nsee: http://xmlns.com/foaf/spec/#term_Group"		group	PERSON: Scott Hoffmann		
98	C	foaf:	Organization	Organization	VIVO	R	yes	Do we need an OBO/VIVO alternative with reference?	"A kind of Agent corresponding to social instititutions such as companies, societies etc.|A generic class encompassing several types of organizations."		"This class will display all the instances in the subclasses below it, as well as any organizations that were added as part of this generic class because there wasn't a specific class available.|Only use if no specific subclasses of foaf:organization desribe the organization."		organization	PERSON: Scott Hoffmann		
99	C	foaf:	Person	Person	VIVO	R	yes	Do we need an OBO/VIVO alternative with reference?	An instance of a human being (Homo sapiens)|The most general classification of a person				person	PERSON: Melissa Haendel		
100	C	geo:	Area	Area	GAZ	N	no									
101	C	geo:	disputed	Disputed	GAZ	N	no									
102	C	geo:	economic_region	Economic Region	GAZ	N	no									
103	C	geo:	geographical_region	Transnational Region	GAZ	N	no									
104	C	geo:	group	Group	GAZ	N	no	There is a general issue for VIVO regarding representing groups of entities								
105	C	geo:	non_self_governing	Non Self Governing	GAZ	N	no									
106	C	geo:	organization	Organization	GAZ	N	no									
107	C	geo:	other	Other	GAZ	N	no									
108	C	geo:	self_governing	Self Governing	GAZ	N	no									
109	C	geo:	special_group	Special Group	GAZ	N	no									
110	C	geo:	territory	Territory	GAZ	N	no									
111	C	go:	DbXref		NA	U	no	Present but unused in both IAO and VIVO								
112	C	go:	Definition		NA	N	no	Use IAO_0000115								
113	C	go:	Synonym		NA	U	no	Present but unused in both IAO and VIVO								
114	C	go:	SynonymType		NA	U	no	Present but unused in both IAO and VIVO								
115	C	obo:	ARG_0000008		NA	N	no	"Undefined in VIVO, used once as the domain of ARG_0000015"								
116	C	obo:	ARG_2000008	Topic Weight Measurement	NA	N	no	Perhaps there is an idea that can be used here?								
117	C	obo:	ARG_2000009	Expertise Measurement	VIVO	M	no	Perhaps there is an idea that can be used here?								
118	C	obo:	ARG_2000010	Topic Weight Measurement Process	VIVO	M	no	Perhaps there is an idea that can be used here?								
119	C	obo:	ARG_2000011	Expertise Measurement Process	VIVO	M	no	Perhaps there is an idea that can be used here?								
120	C	obo:	ARG_2000021	Experience	VIVO	M	no	Hard to imagine how this might be defined or used								
121	C	obo:	ARG_2000022	specialty	VIVO	M	no	Perhaps to be used to indicate a medical speciality or other area of special expertise								
122	C	obo:	ARG_2000376	Contact Qualifier	VIVO	R	yes	We will need contact qualifiers (eg business address)								
123	C	obo:	ARG_2000377	FOAF Profile	VIVO	M	no	Interesting idea -- support multiple profiles								
124	C	obo:	ARG_2000379	Contact	VIVO	M	no	Like a business card?								
125	C	obo:	BFO_0000001	Entity	BFO	Q	yes									
126	C	obo:	BFO_0000002	Continuant	BFO	Q	yes									
127	C	obo:	BFO_0000003	Occurrent	BFO	Q	yes									
128	C	obo:	BFO_0000004	Independent Continuant	BFO	Q	yes									
129	C	obo:	BFO_0000006	Spatial Region	BFO	Q	yes									
130	C	obo:	BFO_0000008	Temporal Region	BFO	Q	yes									
131	C	obo:	BFO_0000015	Process	BFO	Q	yes									
132	C	obo:	BFO_0000016	Disposition	BFO	Q	yes									
133	C	obo:	BFO_0000017	Realizable Entity	BFO	Q	yes				the disposition of this piece of metal to conduct electricity.|the role of this boundary to delineate where Utah and Colorado meet|the disposition of your blood to coagulate|the role of being a doctor|the function of your reproductive organs					
134	C	obo:	BFO_0000019	Quality	BFO	Q	yes									
135	C	obo:	BFO_0000020	Specifically Dependent Continuant	BFO	Q	yes									
136	C	obo:	BFO_0000023	Role	BFO	Q	yes		"A person's, group's or organization's role in an endeavor"		Only use if no specific subclasses of core:Role describe the role.					
137	C	obo:	BFO_0000029	Site	BFO	Q	yes									
138	C	obo:	BFO_0000031	Generically Dependent Continuant	BFO	Q	yes									
139	C	obo:	BFO_0000034	Function	BFO	Q	yes									
140	C	obo:	BFO_0000038	One-Dimensional Temporal Region	BFO	Q	yes									
141	C	obo:	BFO_0000040	Material Entity	BFO	Q	yes									
142	C	obo:	BFO_0000141	Immaterial Entity	BFO	Q	yes									
143	C	obo:	BFO_0000148	Zero-Dimensional Temporal Region	BFO	Q	yes									
144	C	obo:	ERO_0000004	Instrument	ERO	K	yes	Likely to stay in version 2	Material entity that is designed to have a function and play a role in scientific investigation.		A flow cytometer.	http://purl.obolibrary.org/obo/IAO_0000120	instrument	PERSON: Melissa Haendel		http://en.wikipedia.org/wiki/Scientific_instrument
145	C	obo:	ERO_0000005	Service	VIVO	R	yes	A service description	"An information content entity that describes a service performed by a person or organization with the objective of performing a technique, providing training, providing storage of data or material entities, or providing access to resources for another person or organization"		A DNA sequencing service performed by a core lab.	http://purl.obolibrary.org/obo/IAO_0000120	service	PERSON: Melissa Haendel		PERSON: Melissa Haendel
146	C	obo:	ERO_0000006	Reagent	NA	N	no	Not in domain	"Processed material that is used in a chemical reaction or other experimental process to detect, measure, examine, or produce other  substances."		A plasmid can be used as a reagent.	http://purl.obolibrary.org/obo/IAO_0000120	reagent	PERSON: Melissa Haendel		http://www.yourdictionary.com/reagent
147	C	obo:	ERO_0000007	Technique	VIVO	R	yes	Not in the ERO domain	A technique is a planned process used to accomplish a specific activity or task.		Flow cytometry is a technique.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Melissa Haendel		http://en.wikipedia.org/wiki/Technique
148	C	obo:	ERO_0000012	Service Provider Role	VIVO	R	yes	Not in the ERO domain	A role inhering in a person or organization that is realized when the bearer participates in providing a service to meet the need of another person or thing.|An role of an individual within his or her profession or institution; use outreach provider role for community service or other activities outside the profession.		A technician in a core laboratory.|Member of the International Conference on Complex Systems Organizing Committee	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
149	C	obo:	ERO_0000014	Research Project	OBI	R	yes	In the OBO domain	A funded collection of investigations as described in a research proposal.		A project to study the role of a specific protein in cell signaling.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Melissa Haendel		PERSON: Melissa Haendel
150	C	obo:	ERO_0000015	Human Study	OBI	R	yes	In the OBO domain	Research project that uses or collects measurements or assessments about humans.		A clinical trial.	http://purl.obolibrary.org/obo/IAO_0000120	human study	PERSON: Melissa Haendel		OCRe
151	C	obo:	ERO_0000016	Clinical Trial	OBI	R	yes	In the OBO domain	"An interventional study that contains a set of procedures in medical research and drug development that are conducted to allow safety (or more specifically, information about adverse drug reactions and adverse effects of other treatments) and efficacy data to be collected for health interventions (e.g., drugs, diagnostics, devices, therapy protocols) that is performed over phases."		A clinical trial to evaluate the efficacy of a new drug.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://en.wikipedia.org/wiki/Clinical_trial
152	C	obo:	ERO_0000020	Biological Specimen	NA	N	no	Not in domain	"Material entity that is a portion or quantity of a biological material for use in testing, examination, or study. A biological specimen can be an individual animal, a population of organisms, or is a part of or derived from an animal, plant, part of a plant, or microorganism. When a taxon is described, it is typically based on a single specimen and is referred to as the holotype."		Heart tissue obtained from an organism.	http://purl.obolibrary.org/obo/IAO_0000120	biological specimen	PERSON: Melissa Haendel	biospecimen	http://en.wikipedia.org/wiki/Specimen
153	C	obo:	ERO_0000071	Software	SWO	R	yes	In the SWO domain	A general term primarily used for digitally stored data such as computer programs and other kinds of information read and written by computers.		Microsoft Word is commonly used word processing software.	http://purl.obolibrary.org/obo/IAO_0000120	software	PERSON: Melissa Haendel		http://en.wikipedia.org/wiki/Computer_software
154	C	obo:	ERO_0000224	Funding Role	VIVO	R	yes	Not in the ERO domain	A role inhering in a person or organization that is realized when the bearer participates in providing funding to a person or an organization for academic or business purposes.		The NIH is a funding agency.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
155	C	obo:	ERO_0000225	Educator Role	VIVO	R	yes	Not in the ERO domain	A role inhering in a person or organization that is realized when the bearer participates in providing education to a student or group of students.		A teacher.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
156	C	obo:	ERO_0000391	Access Service	NA	N	no	Not in domain	"A service offering that describes a service in which the consumer receives the right to use a resource (instrument, database, software, etc) that is owned or managed by a service provider.  Ownership of the accessed resource remains with the service provider during and after provision of service."		Allowing access to a microscope in a core lab.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
157	C	obo:	ERO_0000392	Storage Service	NA	N	no	Not in domain	A service offering that describes a service in which the consumer provides some material or data as input which a service provider stores and returns as output.		A computer server.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
158	C	obo:	ERO_0000393	Training Service	VIVO	R	yes	Not in ERO domain	"A service offering that describes a service in which the provider offers educational materials or events, such as courses, workshops or graduate programs, to the service consumer "		Training a researcher to use a microscope.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matt Brush		PERSON: Matthew Brush
159	C	obo:	ERO_0000394	Material Processing Service	NA	N	no	Not in domain	"A service offering that describes a service in which the provider makes physical changes to a specified input material entity with the objective of producing a new material entity form input materials, or modifying the input material entity, and returning this as output to the service consumer"		Biopsy service.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://neurolex.org/wiki/Category:Production_service_resource
160	C	obo:	ERO_0000395	Material Analysis Service	NA	N	no	Not in domain	An analysis service offering that describes a service in which the consumer provides some input material and a service provider performs some analysis of this material to generate data that is returned to the service consumer.		Flow cytometry analysis of T cells.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Nicole Vasilevsky		http://neurolex.org/wiki/Category:Analysis_service_resource
161	C	obo:	ERO_0000396	Material Production Service	NA	N	no	Not in domain	"A material processing service offering that describes a service in which the provider makes physical changes to a specified input material that produce a new entity as specified output that is returned the service consumer.  The specified output of a material production service can be contained within, derived from, or synthesized from specified input materials, but it represents a material entity that is of a distinct type from any of the specified input materials."		Production of monoclonal antibodies from a hybridoma.	http://purl.obolibrary.org/obo/IAO_0000120		PERSON: Matthew Brush		http://neurolex.org/wiki/Category:Material_service_resource
162	C	obo:	ERO_0000565	Technology Transfer Office	ORG	N	no	Not in domain	An organization that provides services for commercialization and licensing of technologies at an institution.			http://purl.obolibrary.org/obo/IAO_0000123	Technology Transfer Office	PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
163	C	obo:	ERO_0000595	Research Opportunity	VIVO	R	yes	Not in ERO domain	"A planned process carried out by a person or organization with the objective of performing research.|An offering through an ongoing program or single request of research support: internships, positions, financial awards or other forms of tangible or intangible support"		Training grant to perform post-doctoral research.	http://purl.obolibrary.org/obo/IAO_0000120	student research opportunity	PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
164	C	obo:	ERO_0000776	US Resident Role	NA	N	no	Not in domain	A role that inheres in a person who maintains residency in the United states. 			http://purl.obolibrary.org/obo/IAO_0000123		PERSON: Nicole Vasilevsky		PERSON: Nicole Vasilevsky
