?label	?part1	?lang
"inupiaq"@fr	"ik"	<http://purl.obolibrary.org/obo/LANG_1002616>
"irlandais"@fr	"ga"	<http://purl.obolibrary.org/obo/LANG_1002131>
"islandais"@fr	"is"	<http://purl.obolibrary.org/obo/LANG_1002637>
"italien"@fr	"it"	<http://purl.obolibrary.org/obo/LANG_1002644>
"japonais"@fr	"ja"	<http://purl.obolibrary.org/obo/LANG_1002779>
"javanais"@fr	"jv"	<http://purl.obolibrary.org/obo/LANG_1002693>
"kannada"@fr	"kn"	<http://purl.obolibrary.org/obo/LANG_1002825>
"kanouri"@fr	"kr"	<http://purl.obolibrary.org/obo/LANG_1002831>
"kashmiri"@fr	"ks"	<http://purl.obolibrary.org/obo/LANG_1002829>
"kazakh"@fr	"kk"	<http://purl.obolibrary.org/obo/LANG_1002836>
"khmer central"@fr	"km"	<http://purl.obolibrary.org/obo/LANG_1002995>
"kikuyu"@fr	"ki"	<http://purl.obolibrary.org/obo/LANG_1003019>
"kirghiz"@fr	"ky"	<http://purl.obolibrary.org/obo/LANG_1003026>
"kom"@fr	"kv"	<http://purl.obolibrary.org/obo/LANG_1003173>
"kongo"@fr	"kg"	<http://purl.obolibrary.org/obo/LANG_1003174>
"kuanyama | kwanyama"@fr	"kj"	<http://purl.obolibrary.org/obo/LANG_1003310>
"kurde"@fr	"ku"	<http://purl.obolibrary.org/obo/LANG_1003327>
"lao"@fr	"lo"	<http://purl.obolibrary.org/obo/LANG_1003473>
"latin"@fr	"la"	<http://purl.obolibrary.org/obo/LANG_1003478>
"letton"@fr	"lv"	<http://purl.obolibrary.org/obo/LANG_1003480>
"limbourgeois"@fr	"li"	<http://purl.obolibrary.org/obo/LANG_1003593>
"lingala"@fr	"ln"	<http://purl.obolibrary.org/obo/LANG_1003594>
"lituanien"@fr	"lt"	<http://purl.obolibrary.org/obo/LANG_1003600>
"luba-katanga"@fr	"lu"	<http://purl.obolibrary.org/obo/LANG_1003757>
"luxembourgeois"@fr	"lb"	<http://purl.obolibrary.org/obo/LANG_1003755>
"macédonien"@fr	"mk"	<http://purl.obolibrary.org/obo/LANG_1004052>
"malais"@fr	"ms"	<http://purl.obolibrary.org/obo/LANG_1004246>
"malayalam"@fr	"ml"	<http://purl.obolibrary.org/obo/LANG_1003813>
"maldivien"@fr	"dv"	<http://purl.obolibrary.org/obo/LANG_1001593>
"malgache"@fr	"mg"	<http://purl.obolibrary.org/obo/LANG_1004079>
"maltais"@fr	"mt"	<http://purl.obolibrary.org/obo/LANG_1004092>
"manx | mannois"@fr	"gv"	<http://purl.obolibrary.org/obo/LANG_1002141>
"maori"@fr	"mi"	<http://purl.obolibrary.org/obo/LANG_1004228>
"marathe"@fr	"mr"	<http://purl.obolibrary.org/obo/LANG_1003817>
"marshall"@fr	"mh"	<http://purl.obolibrary.org/obo/LANG_1003809>
"mongol"@fr	"mn"	<http://purl.obolibrary.org/obo/LANG_1004157>
"nauruan"@fr	"na"	<http://purl.obolibrary.org/obo/LANG_1004454>
"navaho"@fr	"nv"	<http://purl.obolibrary.org/obo/LANG_1004455>
"ndonga"@fr	"ng"	<http://purl.obolibrary.org/obo/LANG_1004519>
"ndébélé du Nord"@fr	"nd"	<http://purl.obolibrary.org/obo/LANG_1004509>
"ndébélé du Sud"@fr	"nr"	<http://purl.obolibrary.org/obo/LANG_1004470>
"norvégien"@fr	"no"	<http://purl.obolibrary.org/obo/LANG_1004758>
"norvégien bokmål"@fr	"nb"	<http://purl.obolibrary.org/obo/LANG_1004743>
"norvégien nynorsk | nynorsk, norvégien"@fr	"nn"	<http://purl.obolibrary.org/obo/LANG_1004732>
"néerlandais | flamand"@fr	"nl"	<http://purl.obolibrary.org/obo/LANG_1004676>
"népalais"@fr	"ne"	<http://purl.obolibrary.org/obo/LANG_1004545>
"occitan (après 1500)"@fr	"oc"	<http://purl.obolibrary.org/obo/LANG_1004944>
"ojibwa"@fr	"oj"	<http://purl.obolibrary.org/obo/LANG_1004967>
"oriya"@fr	"or"	<http://purl.obolibrary.org/obo/LANG_1005046>
"ossète"@fr	"os"	<http://purl.obolibrary.org/obo/LANG_1005064>
"ourdou"@fr	"ur"	<http://purl.obolibrary.org/obo/LANG_1006781>
"ouszbek"@fr	"uz"	<http://purl.obolibrary.org/obo/LANG_1006823>
"ouïgour"@fr	"ug"	<http://purl.obolibrary.org/obo/LANG_1006724>
"pachto"@fr	"ps"	<http://purl.obolibrary.org/obo/LANG_1005419>
"pali"@fr	"pi"	<http://purl.obolibrary.org/obo/LANG_1005256>
"pendjabi"@fr	"pa"	<http://purl.obolibrary.org/obo/LANG_1005110>
"persan"@fr	"fa"	<http://purl.obolibrary.org/obo/LANG_1001899>
"peul"@fr	"ff"	<http://purl.obolibrary.org/obo/LANG_1001965>
"polonais"@fr	"pl"	<http://purl.obolibrary.org/obo/LANG_1005325>
"portugais"@fr	"pt"	<http://purl.obolibrary.org/obo/LANG_1005331>
"quechua"@fr	"qu"	<http://purl.obolibrary.org/obo/LANG_1005447>
"romanche"@fr	"rm"	<http://purl.obolibrary.org/obo/LANG_1005609>
"roumain | moldave"@fr	"ro"	<http://purl.obolibrary.org/obo/LANG_1005612>
"rundi"@fr	"rn"	<http://purl.obolibrary.org/obo/LANG_1005639>
"russe"@fr	"ru"	<http://purl.obolibrary.org/obo/LANG_1005643>
"rwanda"@fr	"rw"	<http://purl.obolibrary.org/obo/LANG_1003022>
"sami du Nord"@fr	"se"	<http://purl.obolibrary.org/obo/LANG_1005910>
"samoan"@fr	"sm"	<http://purl.obolibrary.org/obo/LANG_1005919>
"sango"@fr	"sg"	<http://purl.obolibrary.org/obo/LANG_1005665>
"sanskrit"@fr	"sa"	<http://purl.obolibrary.org/obo/LANG_1005670>
"sarde"@fr	"sc"	<http://purl.obolibrary.org/obo/LANG_1006015>
"serbe"@fr	"sr"	<http://purl.obolibrary.org/obo/LANG_1006026>
"shona"@fr	"sn"	<http://purl.obolibrary.org/obo/LANG_1005931>
"sindhi"@fr	"sd"	<http://purl.obolibrary.org/obo/LANG_1005934>
"singhalais"@fr	"si"	<http://purl.obolibrary.org/obo/LANG_1005832>
"slavon d'église | vieux slave | slavon liturgique | vieux bulgare"@fr	"cu"	<http://purl.obolibrary.org/obo/LANG_1001250>
"slovaque"@fr	"sk"	<http://purl.obolibrary.org/obo/LANG_1005891>
"slovène"@fr	"sl"	<http://purl.obolibrary.org/obo/LANG_1005901>
"somali"@fr	"so"	<http://purl.obolibrary.org/obo/LANG_1005966>
"sotho du Sud"@fr	"st"	<http://purl.obolibrary.org/obo/LANG_1005972>
"soundanais"@fr	"su"	<http://purl.obolibrary.org/obo/LANG_1006093>
"suédois"@fr	"sv"	<http://purl.obolibrary.org/obo/LANG_1006114>
"swahili"@fr	"sw"	<http://purl.obolibrary.org/obo/LANG_1006111>
"swati"@fr	"ss"	<http://purl.obolibrary.org/obo/LANG_1006058>
"tadjik"@fr	"tg"	<http://purl.obolibrary.org/obo/LANG_1006309>
"tagalog"@fr	"tl"	<http://purl.obolibrary.org/obo/LANG_1006310>
"tahitien"@fr	"ty"	<http://purl.obolibrary.org/obo/LANG_1006182>
"tamoul"@fr	"ta"	<http://purl.obolibrary.org/obo/LANG_1006186>
"tatar"@fr	"tt"	<http://purl.obolibrary.org/obo/LANG_1006193>
"tchouvache"@fr	"cv"	<http://purl.obolibrary.org/obo/LANG_1001251>
"tchèque"@fr	"cs"	<http://purl.obolibrary.org/obo/LANG_1001221>
"tchétchène"@fr	"ce"	<http://purl.obolibrary.org/obo/LANG_1001236>
"thaï"@fr	"th"	<http://purl.obolibrary.org/obo/LANG_1006324>
"tibétain"@fr	"bo"	<http://purl.obolibrary.org/obo/LANG_1000856>
"tigrigna"@fr	"ti"	<http://purl.obolibrary.org/obo/LANG_1006358>
"tongan (Îles Tonga)"@fr	"to"	<http://purl.obolibrary.org/obo/LANG_1006478>
"tsonga"@fr	"ts"	<http://purl.obolibrary.org/obo/LANG_1006561>
"tswana"@fr	"tn"	<http://purl.obolibrary.org/obo/LANG_1006560>
"turc"@fr	"tr"	<http://purl.obolibrary.org/obo/LANG_1006614>
"turkmène"@fr	"tk"	<http://purl.obolibrary.org/obo/LANG_1006608>
"twi"@fr	"tw"	<http://purl.obolibrary.org/obo/LANG_1006643>
"télougou"@fr	"te"	<http://purl.obolibrary.org/obo/LANG_1006280>
"ukrainien"@fr	"uk"	<http://purl.obolibrary.org/obo/LANG_1006735>
"venda"@fr	"ve"	<http://purl.obolibrary.org/obo/LANG_1006849>
"vietnamien"@fr	"vi"	<http://purl.obolibrary.org/obo/LANG_1006857>
"volapük"@fr	"vo"	<http://purl.obolibrary.org/obo/LANG_1006903>
"wallon"@fr	"wa"	<http://purl.obolibrary.org/obo/LANG_1007028>
"wolof"@fr	"wo"	<http://purl.obolibrary.org/obo/LANG_1007074>
"xhosa"@fr	"xh"	<http://purl.obolibrary.org/obo/LANG_1007226>
"yi de Sichuan"@fr	"ii"	<http://purl.obolibrary.org/obo/LANG_1002557>
"yiddish"@fr	"yi"	<http://purl.obolibrary.org/obo/LANG_1007521>
"yoruba"@fr	"yo"	<http://purl.obolibrary.org/obo/LANG_1007600>
"zhuang | chuang"@fr	"za"	<http://purl.obolibrary.org/obo/LANG_1007725>
"zoulou"@fr	"zu"	<http://purl.obolibrary.org/obo/LANG_1007850>
"éwé"@fr	"ee"	<http://purl.obolibrary.org/obo/LANG_1001877>
